scan,radius_cm,signal,elapsed_seconds
scan_001,5.90,0.0011,0
scan_001,5.92,0.0037,0
scan_001,5.94,0.0120,0
scan_001,5.96,0.0374,0
scan_001,5.98,0.1042,0
scan_001,6.00,0.2250,0
scan_001,6.02,0.3458,0
scan_001,6.04,0.4126,0
scan_001,6.06,0.4380,0
scan_001,6.08,0.4463,0
scan_001,6.10,0.4489,0
scan_001,6.12,0.4497,0
scan_002,5.90,0.0002,900
scan_002,5.92,0.0006,900
scan_002,5.94,0.0020,900
scan_002,5.96,0.0066,900
scan_002,5.98,0.0213,900
scan_002,6.00,0.0638,900
scan_002,6.02,0.1595,900
scan_002,6.04,0.2905,900
scan_002,6.06,0.3862,900
scan_002,6.08,0.4287,900
scan_002,6.10,0.4434,900
scan_002,6.12,0.4480,900
scan_003,5.90,0.0000,1800
scan_003,5.92,0.0001,1800
scan_003,5.94,0.0003,1800
scan_003,5.96,0.0011,1800
scan_003,5.98,0.0037,1800
scan_003,6.00,0.0120,1800
scan_003,6.02,0.0374,1800
scan_003,6.04,0.1042,1800
scan_003,6.06,0.2250,1800
scan_003,6.08,0.3458,1800
scan_003,6.10,0.4126,1800
scan_003,6.12,0.4380,1800
scan_004,5.90,0.0000,2700
scan_004,5.92,0.0000,2700
scan_004,5.94,0.0001,2700
scan_004,5.96,0.0002,2700
scan_004,5.98,0.0006,2700
scan_004,6.00,0.0020,2700
scan_004,6.02,0.0066,2700
scan_004,6.04,0.0213,2700
scan_004,6.06,0.0638,2700
scan_004,6.08,0.1595,2700
scan_004,6.10,0.2905,2700
scan_004,6.12,0.3862,2700
